domain,ddg_join_ads,cookies,canvas_fingerprinters,session_recorders,key_logging,fb_pixel_events,ga,traffic_rank
https://onetrusthomeloans.com/,8,9,FALSE,FALSE,FALSE,TRUE,TRUE,959704
https://www.lower.com/,13,19,FALSE,FALSE,FALSE,TRUE,TRUE,936763
https://nfmlending.com/,6,1,FALSE,TRUE,FALSE,TRUE,TRUE,927784
https://www.evergreenhomeloans.com/,7,7,FALSE,FALSE,FALSE,TRUE,TRUE,906117
https://www.evergreenhomeloans.com/,7,7,FALSE,FALSE,FALSE,TRUE,TRUE,906117
https://snmc.com/,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,882375
https://acralending.com/,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,739120
https://www.orrstown.com/,30,60,FALSE,FALSE,FALSE,TRUE,TRUE,712445
https://ojo.com/,27,51,FALSE,FALSE,FALSE,TRUE,TRUE,697304
https://www.unionsavings.com/,15,27,FALSE,FALSE,TRUE,TRUE,FALSE,693091
https://www.totalmortgage.com/,6,2,FALSE,TRUE,FALSE,TRUE,TRUE,675201
https://myfw.com/,10,13,FALSE,TRUE,TRUE,TRUE,FALSE,662024
https://tomo.com/mortgage,9,10,FALSE,FALSE,FALSE,TRUE,FALSE,656844
https://neighborhoodloans.com/,6,1,FALSE,TRUE,FALSE,TRUE,TRUE,628727
https://www.mottomortgage.com/,35,67,FALSE,TRUE,FALSE,TRUE,TRUE,625853
https://www.ffbf.com/,8,4,FALSE,FALSE,TRUE,TRUE,TRUE,571376
https://www.ffbf.com/,8,4,FALSE,FALSE,TRUE,TRUE,TRUE,571376
https://www.waterstonemortgage.com/,5,0,FALSE,FALSE,FALSE,TRUE,FALSE,558549
https://www.mutualmortgage.com/,35,80,TRUE,TRUE,FALSE,TRUE,TRUE,551294
https://www.cmghomeloans.com/,22,50,FALSE,FALSE,FALSE,TRUE,FALSE,548867
https://lhfs.com/,6,3,FALSE,TRUE,FALSE,TRUE,TRUE,537797
https://www.ownup.com/,7,14,FALSE,TRUE,FALSE,TRUE,FALSE,502596
https://www.aafmaa.com/,10,11,FALSE,TRUE,FALSE,TRUE,FALSE,489077
https://www.nasb.com/,7,20,FALSE,FALSE,FALSE,TRUE,FALSE,451443
https://www.fidelitybanknc.com/,10,15,FALSE,FALSE,FALSE,TRUE,TRUE,439354
https://www.embracehomeloans.com/,8,11,FALSE,FALSE,FALSE,TRUE,TRUE,409900
https://www.nbkc.com/,6,10,TRUE,TRUE,FALSE,TRUE,TRUE,394225
https://www.firstflorida.org/,6,1,FALSE,FALSE,FALSE,TRUE,TRUE,387013
https://fbchomeloans.com/,5,1,TRUE,FALSE,FALSE,TRUE,FALSE,384482
https://www.highlandhomes.com/,8,9,FALSE,FALSE,TRUE,TRUE,TRUE,350087
